User ID,Heart Rate (BPM),Blood Oxygen Level (%),Step Count,Sleep Duration (hours),Activity Level,Activity Level (Steps),Stress Level
4174,58,98.8,5450,7.2,Highly Active,Low Active,1
2294,40,96.9,13797,7.4,Active,Highly Active,3
2130,61,98.6,15679,6.5,Highly Active,Highly Active,6
2095,96,94.2,10205,8.4,Highly Active,Highly Active,10
4772,47,95.4,3208,7.9,Sedentary,Sedentary,2
4092,81,96.0,6051,5.2,Sedentary,Low Active,1
3979,93,97.2,1775,5.5,Sedentary,Sedentary,1
3169,51,97.3,7940,8.0,Sedentary,Active,8
1466,101,98.0,2987,7.5,Sedentary,Sedentary,9
2238,73,95.4,1748,4.8,Active,Sedentary,1
1330,95,99.2,6155,5.8,Highly Active,Low Active,10
2482,79,99.0,829,6.3,Sedentary,Sedentary,5
3135,68,99.7,8124,6.4,Highly Active,Active,5
4444,40,99.0,1449,6.4,Active,Sedentary,2
4171,58,97.8,5643,7.8,Sedentary,Low Active,10
3919,75,96.1,3488,6.7,Sedentary,Sedentary,4
4735,98,96.0,5846,6.6,Sedentary,Low Active,9
2685,74,99.6,2601,6.8,Highly Active,Sedentary,9
4380,68,98.0,1058,6.5,Active,Sedentary,3
1769,81,96.1,10503,5.8,Active,Highly Active,5
3391,76,98.8,508,4.8,Sedentary,Sedentary,10
2515,69,99.3,3306,8.4,Highly Active,Sedentary,1
4485,84,99.0,4173,9.2,Sedentary,Sedentary,9
3853,64,99.8,1520,6.9,Sedentary,Sedentary,2
3433,75,98.1,3400,8.7,Sedentary,Sedentary,10
2215,86,97.5,3790,6.8,Sedentary,Sedentary,1
1955,64,98.1,1778,4.4,Sedentary,Sedentary,7
3324,69,100.0,7137,7.0,Sedentary,Low Active,2
2184,66,99.5,219,6.0,Sedentary,Sedentary,6
1459,81,98.2,1540,7.2,Highly Active,Sedentary,10
4385,80,100.0,6848,6.5,Sedentary,Low Active,6
1021,67,100.0,6913,5.7,Active,Low Active,10
3300,80,100.0,2157,7.1,Highly Active,Sedentary,4
1747,40,100.0,8043,7.8,Active,Active,5
3904,87,100.0,4441,8.5,Sedentary,Sedentary,5
4632,88,100.0,5244,8.0,Sedentary,Low Active,6
1474,67,92.7,2830,4.8,Sedentary,Sedentary,7
2082,64,98.4,29066,4.8,Highly Active,Highly Active,3
3558,74,95.1,9359,7.6,Active,Active,4
4753,61,100.0,1999,5.9,Highly Active,Sedentary,2
3047,63,97.4,1889,5.0,Active,Sedentary,2
4547,79,98.9,10415,8.3,Sedentary,Highly Active,10
3747,87,97.7,3437,5.9,Highly Active,Sedentary,5
1975,79,100.0,671,8.9,Highly Active,Sedentary,2
2806,118,95.6,253,5.8,Active,Sedentary,8
1189,93,99.4,3740,5.4,Sedentary,Sedentary,3
4005,86,95.9,3749,6.4,Sedentary,Sedentary,3
3734,85,93.7,8589,7.6,Highly Active,Active,7
4005,76,98.4,5985,6.9,Sedentary,Low Active,8
1562,82,95.6,10291,9.3,Active,Highly Active,1
2899,77,95.0,2676,6.8,Sedentary,Sedentary,6
4638,90,94.9,6851,6.2,Sedentary,Low Active,4
2267,70,97.2,15182,8.8,Highly Active,Highly Active,4
3879,70,99.9,502,7.4,Highly Active,Sedentary,10
2528,92,95.1,8627,5.9,Highly Active,Active,2
4202,68,100.0,8808,6.9,Unknown,Active,4
4556,60,96.9,11060,6.8,Sedentary,Highly Active,1
4890,63,95.9,2193,6.2,Highly Active,Sedentary,6
1646,86,100.0,3771,6.8,Active,Sedentary,5
3068,115,99.9,1918,6.5,Highly Active,Sedentary,4
3888,61,99.6,2583,6.0,Sedentary,Sedentary,8
3214,84,98.5,24206,7.1,Sedentary,Highly Active,1
2297,77,95.9,4129,5.7,Active,Sedentary,2
3435,91,100.0,13212,5.2,Active,Highly Active,1
1600,84,98.1,11089,6.4,Active,Highly Active,8
3363,92,98.3,4115,5.8,Active,Sedentary,1
3061,79,98.8,33956,4.5,Active,Highly Active,7
4060,62,100.0,12862,4.6,Sedentary,Highly Active,6
3041,64,94.7,4613,6.5,Highly Active,Sedentary,10
